TABLICA ROUTINGU na GROM 20.

Persistent Routes:
  Network Address          Netmask  Gateway Address  Metric
  192.168.226.226  255.255.255.255      10.60.7.253       1
       172.17.0.0      255.255.0.0        10.60.3.2       1
       172.18.0.0      255.255.0.0        10.60.3.2       1
      192.168.0.0      255.255.0.0        10.60.3.2       1
   192.168.104.98  255.255.255.255        10.60.7.2       1
      172.16.55.5  255.255.255.255      10.60.0.253       1
  192.168.168.126  255.255.255.255        10.60.3.1       1
    192.168.254.6  255.255.255.255      10.60.0.253       1
     192.168.42.6  255.255.255.255      10.60.0.253       1
      10.100.3.37  255.255.255.255    10.60.254.245       1
    192.168.30.19  255.255.255.255        10.60.3.1       1
    192.168.10.19  255.255.255.255        10.60.3.1       1
      192.168.8.6  255.255.255.255      10.60.0.253       1
    192.168.193.0    255.255.255.0      10.60.8.253       1
    192.168.108.6  255.255.255.255      10.60.0.253       1
      172.16.90.5  255.255.255.255      10.60.1.234       1
     172.16.102.5  255.255.255.255      10.60.1.234       1
  192.168.150.194  255.255.255.255      10.60.7.253       1
    192.168.255.6  255.255.255.255      10.60.1.234       1
     192.168.1.16  255.255.255.255    10.60.254.243       1
    192.168.154.6  255.255.255.255      10.60.0.253       1
    192.168.210.5  255.255.255.255        10.60.3.1       1
     172.16.104.5  255.255.255.255      10.60.0.253       1
         10.8.0.0    255.255.128.0      10.60.200.1       1
    192.168.243.6  255.255.255.255      10.60.0.253       1
   192.168.51.130  255.255.255.255      10.60.7.253       1
     192.168.15.5  255.255.255.255      10.60.7.253       1
     192.168.1.14  255.255.255.255    10.60.254.243       1
    192.168.160.6  255.255.255.255      10.60.7.253       1
        10.58.0.0    255.255.254.0      10.60.1.101       1
     192.168.61.6  255.255.255.255      10.60.7.253       1
       10.233.0.0      255.255.0.0        10.60.7.6       1
       10.230.0.0      255.255.0.0      10.60.1.234       1
    192.168.155.6  255.255.255.255      10.60.7.253       1
       10.10.95.6  255.255.255.255      10.60.1.234       1
     192.168.95.6  255.255.255.255      10.60.1.234       1
      192.168.1.0    255.255.255.0    10.60.254.254       1
    192.168.148.6  255.255.255.255      10.60.0.253       1
      192.37.59.6  255.255.255.255      10.60.0.253       1
        10.81.7.0    255.255.255.0        10.60.3.2       1
       10.202.0.0      255.255.0.0      10.29.2.253       1
     192.168.15.6  255.255.255.255      10.60.0.253       1
    192.168.209.0    255.255.255.0        10.60.3.2       1
       172.28.0.0      255.255.0.0    10.60.254.254       1
       10.10.32.0    255.255.255.0      10.60.1.234       1
    192.168.245.0    255.255.255.0      10.60.1.234       1
          0.0.0.0          0.0.0.0      10.60.1.234       1
     172.16.102.7  255.255.255.255      10.60.1.234       1
    192.168.200.6  255.255.255.255      10.60.0.253       1
        10.42.0.0    255.255.240.0        10.60.3.1       1
        10.12.0.0    255.255.248.0        10.60.3.1       1
       172.16.9.0    255.255.255.0      10.60.1.234       1
        10.29.0.0      255.255.0.0        10.60.3.1       1
        10.49.0.0      255.255.0.0        10.60.3.1       1
        10.62.0.0      255.255.0.0        10.60.3.1       1
       172.16.0.0      255.255.0.0        10.60.3.2       1
      192.37.60.6  255.255.255.255      10.60.1.234       1
        10.22.7.0    255.255.255.0     10.60.11.253       1
        10.8.68.6  255.255.255.255        10.60.8.2       1
        10.8.61.6  255.255.255.255      10.60.1.234       1
      10.12.206.0  255.255.255.255      10.60.1.234       1
       10.0.5.132  255.255.255.255        10.60.3.2       1
        10.59.1.0    255.255.255.0      10.60.1.101       1
       10.229.0.0    255.255.248.0        10.60.7.6       1
        10.10.0.0      255.255.0.0        10.60.7.2       1
    10.60.141.252  255.255.255.255        10.60.7.2       1
          0.0.0.0          0.0.0.0      10.60.1.234  Default
